注音,標準華語拼音,漢語拼音,Wade-Glides
ㄅㄚ,ba,ba,pa
ㄅㄛ,bo,bo,po
ㄅㄞ,bai,bai,pai
ㄅㄟ,bei,bei,pei
ㄅㄠ,bao,bao,pao
ㄅㄢ,ban,ban,pan
ㄅㄣ,ben,ben,pên
ㄅㄤ,bang,bang,pang
ㄅㄥ,beng,beng,pêng
ㄅㄧ,bi,bi,pi
ㄅㄧㄝ,bie,bie,pieh
ㄅㄧㄠ,biao,biao,piao
ㄅㄧㄢ,bian,bian,pien
ㄅㄧㄣ,bin,bin,pin
ㄅㄧㄥ,bing,bing,ping
ㄅㄨ,bu,bu,pu
ㄆㄚ,pa,pa,p'a
ㄆㄛ,po,po,p'o
ㄆㄞ,pai,pai,p'ai
ㄆㄟ,pei,pei,p'ei
ㄆㄠ,pao,pao,p'ao
ㄆㄡ,pou,pou,p'ou
ㄆㄢ,pan,pan,p'an
ㄆㄣ,pen,pen,p'ên
ㄆㄤ,pang,pang,p'ang
ㄆㄥ,peng,peng,p'êng
ㄆㄧ,pi,pi,p'i
ㄆㄧㄝ,pie,pie,p'ieh
ㄆㄧㄠ,piao,piao,p'iao
ㄆㄧㄢ,pian,pian,p'ien
ㄆㄧㄣ,pin,pin,p'in
ㄆㄧㄥ,ping,ping,p'ing
ㄆㄨ,pu,pu,p'u
ㄇㄚ,ma,ma,ma
ㄇㄛ,mo,mo,mo
ㄇㄜ,me,me,mê
ㄇㄞ,mai,mai,mai
ㄇㄟ,mei,mei,mei
ㄇㄠ,mao,mao,mao
ㄇㄡ,mou,mou,mou
ㄇㄢ,man,man,man
ㄇㄣ,men,men,mên
ㄇㄤ,mang,mang,mang
ㄇㄥ,meng,meng,mêng
ㄇㄧ,mi,mi,mi
ㄇㄧㄝ,mie,mie,mieh
ㄇㄧㄠ,miao,miao,miao
ㄇㄧㄡ,miou,miu,miu
ㄇㄧㄢ,mian,mian,mien
ㄇㄧㄣ,min,min,min
ㄇㄧㄥ,ming,ming,ming
ㄇㄨ,mu,mu,mu
ㄈㄚ,fa,fa,fa
ㄈㄛ,fo,fo,fo
ㄈㄟ,fei,fei,fei
ㄈㄡ,fou,fou,fou
ㄈㄢ,fan,fan,fan
ㄈㄣ,fen,fen,fên
ㄈㄤ,fang,fang,fang
ㄈㄥ,feng,feng,fêng
ㄈㄨ,fu,fu,fu
ㄉㄚ,da,da,ta
ㄉㄜ,der,de,tê
ㄉㄞ,dai,dai,tai
ㄉㄟ,dei,dei,tei
ㄉㄠ,dao,dao,tao
ㄉㄡ,dou,dou,tou
ㄉㄢ,dan,dan,tan
ㄉㄤ,dang,dang,tang
ㄉㄥ,deng,deng,têng
ㄉㄧ,di,di,ti
ㄉㄧㄝ,die,die,tieh
ㄉㄧㄠ,diao,diao,tiao
ㄉㄧㄡ,diou,diu,tiu
ㄉㄧㄢ,dian,dian,tien
ㄉㄧㄤ,diang,diang,tiang
ㄉㄧㄥ,ding,ding,ting
ㄉㄨ,du,du,tu
ㄉㄨㄛ,duo,duo,to
ㄉㄨㄟ,dui,dui,tui
ㄉㄨㄢ,duan,duan,tuan
ㄉㄨㄣ,dun,dun,tun
ㄉㄨㄥ,dong,dong,tung
ㄊㄚ,ta,ta,t'a
ㄊㄜ,te,te,t'ê
ㄊㄞ,tai,tai,t'ai
ㄊㄟ,tei,tei,t'ei
ㄊㄠ,tao,tao,t'ao
ㄊㄡ,tou,tou,t'ou
ㄊㄢ,tan,tan,t'an
ㄊㄤ,tang,tang,t'ang
ㄊㄥ,teng,teng,t'êng
ㄊㄧ,ti,ti,t'i
ㄊㄧㄝ,tie,tie,t'ieh
ㄊㄧㄠ,tiao,tiao,t'iao
ㄊㄧㄢ,tian,tian,t'ien
ㄊㄧㄥ,ting,ting,t'ing
ㄊㄨ,tu,tu,t'u
ㄊㄨㄛ,tuo,tuo,t'o
ㄊㄨㄟ,tui,tui,t'ui
