代碼,地區,簡稱,地區外文名稱,縮寫
11,北京市,京,Beijing City,BJ
12,天津市,津,Tianjin City,TJ
13,河北省,冀,Hebei Province,HE
14,山西省,晉,Shansi Province,SX
15,內蒙古自治區,蒙,Inner Mongolia AR,IM
21,遼寧省,遼,Liaoning Province,LN
22,吉林省,吉,Jilin Province,JL
23,黑龍江省,黑,Heilongjiang Province,HL
31,上海市,滬,Shanghai City,SH
32,江蘇省,蘇,Jiangsu Province,JS
33,浙江省,浙,Jhejiang Province,ZJ
34,安徽省,皖,Anhui Province,AH
35,福建省,閩,Fujian Province,FJ
36,江西省,贛,Jiangsi Province,JX
37,山東省,魯,Shandong Province,SD
41,河南省,豫,Henan Province,HA
42,湖北省,鄂,Hubei Province,HB
43,湖南省,湘,Hunan Province,HN
44,廣東省,粵,Canton Province,CT
45,廣西壯族自治區,桂,Guangsi Jhuang AR,GX
46,海南省,瓊,Hainan Province,HI
51,四川省,蜀,Szechuan Province,SC
52,貴州省,黔,Guijhou Province,GJ
53,雲南省,滇,Yunnan Province,YN
54,西藏自治區,藏,Tibet AR,TB
61,陝西省,秦,Shaansi Province,SN
62,甘肅省,隴,Gansu Province,GS
63,青海省,青,Cinghai Province,CH
64,寧夏回族自治區,寧,Ningsia Hui AR,NX
65,新疆維吾爾自治區,新,Sinkiang Uyghur AR,SK
