代碼,地區,首府,首府外文名稱
11,北京市,北京,Beijing
12,天津市,天津,Tianjin
13,河北省,石家莊,Shijiajhuang
14,山西省,太原市,Taiyuan
15,內蒙古自治區,呼和浩特,Hohhot
21,遼寧省,瀋陽,Shenyang
22,吉林省,長春,Changchun
23,黑龍江省,哈爾濱,Harbin
31,上海市,上海,Shanghai
32,江蘇省,南京,Nanjing
33,浙江省,杭州,Hangjhou
34,安徽省,合肥,Hefei
35,福建省,福州,Fujhou
36,江西省,南昌,Nanchang
37,山東省,濟南,Jinan
41,河南省,鄭州,Jhenjhou
42,湖北省,武漢,Wuhan
43,湖南省,長沙,Changsha
44,廣東省,廣州,Canton
45,廣西壯族自治區,南寧,Nanning
46,海南省,海口,Haikou
51,四川省,成都,Chengdu
52,貴州省,貴陽,Guiyang
53,雲南省,昆明,Kunming
54,西藏自治區,拉薩,Lhasa
61,陝西省,西安,Sian
62,甘肅省,蘭州,Lanjhou
63,青海省,西寧,Sining
64,寧夏回族自治區,銀川,Yinchuan
65,新疆維吾爾自治區,烏魯木齊,Urumchi
